,Front,Back,Audio
0,lose some they win some they,"perdent parfois, gagnent parfois, ils","[sound:perdent parfois, gagnent parfois, ils.mp3]"
1,gonna bother you the fact that,"de la vie, de la mort, de la mort, de la mort, de la mort, de la mort, de la mort...","[sound:de la vie, de la mort, de la mort, de la mort, de la mort, de la mort, de la mort....mp3]"
2,some they win some they lose,certains gagnent d'autres perdent,[sound:certains gagnent d'autres perdent.mp3]
3,out a day in their life,de la vie d'une personne,[sound:de la vie d'une personne.mp3]
4,person whether or not she's a,"de la personne, qu'elle soit ou non une","[sound:de la personne, qu'elle soit ou non une.mp3]"
5,we don't know whether or not,nous ne savons pas si oui ou non,[sound:nous ne savons pas si oui ou non.mp3]
6,you didn't research a thing about,vous n'avez pas fait de recherches sur,[sound:vous n'avez pas fait de recherches sur.mp3]
7,you're going to be every single,vous serez chaque fois,[sound:vous serez chaque fois.mp3]
8,going to realize there's not as,va se rendre compte qu'il n'y a pas autant de,[sound:va se rendre compte qu'il n'y a pas autant de.mp3]
9,don't know how she's gonna be,on ne sait pas comment elle va être,[sound:on ne sait pas comment elle va être.mp3]
10,lot of the time they're not,"souvent, ils ne sont pas","[sound:souvent, ils ne sont pas.mp3]"
11,made all these ideas of this,ils n'ont pas toutes ces idées de ce,[sound:ils n'ont pas toutes ces idées de ce.mp3]
12,a lot of the time they're,"la plupart du temps, ils sont","[sound:la plupart du temps, ils sont.mp3]"
13,that's a good thing for me,c'est une bonne chose pour moi,[sound:c'est une bonne chose pour moi.mp3]
14,a ton of them who have,une tonne d'entre eux qui ont,[sound:une tonne d'entre eux qui ont.mp3]
15,to realize there's not as much,de se rendre compte qu'il n'y a pas autant de,[sound:de se rendre compte qu'il n'y a pas autant de.mp3]
16,they win some they lose some,"ils gagnent un peu, ils perdent un peu","[sound:ils gagnent un peu, ils perdent un peu.mp3]"
17,the top 1% of female athletes,le 1% des athlètes féminines les plus performantes,[sound:le 1% des athlètes féminines les plus performantes.mp3]
18,they lose some they win some,"elles perdent un peu, elles gagnent un peu","[sound:elles perdent un peu, elles gagnent un peu.mp3]"
19,gonna bother you the fact that,vont vous déranger le fait que,[sound:vont vous déranger le fait que.mp3]
20,some they win some they lose,certains gagnent d'autres perdent,[sound:certains gagnent d'autres perdent.mp3]
21,out a day in their life,dans une journée de leur vie,[sound:dans une journée de leur vie.mp3]
22,person whether or not she's a,"personne, qu'elle soit ou non une","[sound:personne, qu'elle soit ou non une.mp3]"
23,we don't know whether or not,nous ne savons pas si oui ou non,[sound:nous ne savons pas si oui ou non.mp3]
24,you didn't research a thing about,vous n'avez pas fait de recherches sur,[sound:vous n'avez pas fait de recherches sur.mp3]
25,you're going to be every single,vous serez chaque fois,[sound:vous serez chaque fois.mp3]
26,going to realize there's not as,va se rendre compte qu'il n'y a pas autant de,[sound:va se rendre compte qu'il n'y a pas autant de.mp3]
27,don't know how she's gonna be,on ne sait pas comment elle va être,[sound:on ne sait pas comment elle va être.mp3]
28,lot of the time they're not,"souvent, ils ne sont pas","[sound:souvent, ils ne sont pas.mp3]"
29,made all these ideas of this,ils n'ont pas toutes ces idées de ce,[sound:ils n'ont pas toutes ces idées de ce.mp3]
30,a lot of the time they're,"la plupart du temps, ils sont","[sound:la plupart du temps, ils sont.mp3]"
31,that's a good thing for me,c'est une bonne chose pour moi,[sound:c'est une bonne chose pour moi.mp3]
32,a ton of them who have,une tonne d'entre eux qui ont,[sound:une tonne d'entre eux qui ont.mp3]
33,to realize there's not as much,de se rendre compte qu'il n'y a pas autant de,[sound:de se rendre compte qu'il n'y a pas autant de.mp3]
34,they win some they lose some,"ils gagnent un peu, ils perdent un peu","[sound:ils gagnent un peu, ils perdent un peu.mp3]"
35,the top 1% of female athletes,le 1% des athlètes féminines les plus performantes,[sound:le 1% des athlètes féminines les plus performantes.mp3]
36,they lose some they win some,"elles perdent un peu, elles gagnent un peu","[sound:elles perdent un peu, elles gagnent un peu.mp3]"
37,all these ideas of this person,toutes ces idées de cette personne,[sound:toutes ces idées de cette personne.mp3]
38,and as it currently stands ,et dans l'état actuel des choses ,[sound:et dans l'état actuel des choses .mp3]
39,a day in their life  ,un jour dans sa vie  ,[sound:un jour dans sa vie  .mp3]
40,they're within the normal range  ,ils se situent dans la fourchette normale  ,[sound:ils se situent dans la fourchette normale  .mp3]
41,didn't research a thing about  ,n'a pas fait de recherches sur  ,[sound:n'a pas fait de recherches sur  .mp3]
42,some they lose some they  ,certains perdent d'autres  ,[sound:certains perdent d'autres  .mp3]
43,do you want to be  ,voulez-vous être  ,[sound:voulez-vous être  .mp3]
44,bother you the fact that  ,vous déranger le fait que  ,[sound:vous déranger le fait que  .mp3]
45,some they win some they  ,certains gagnent d'autres  ,[sound:certains gagnent d'autres  .mp3]
46,a good thing for me  ,une bonne chose pour moi  ,[sound:une bonne chose pour moi  .mp3]
47,out a day in their  ,de la journée dans leur  ,[sound:de la journée dans leur  .mp3]
48,all these ideas of this  ,toutes ces idées de ce  ,[sound:toutes ces idées de ce  .mp3]
49,be drops in terms of  ,de ce qui se passe en termes de  ,[sound:de ce qui se passe en termes de  .mp3]
50,the top 1% of female  ,les 1% de femmes les plus performantes  ,[sound:les 1% de femmes les plus performantes  .mp3]
51,don't know whether or not  ,ne savent pas si oui ou non  ,[sound:ne savent pas si oui ou non  .mp3]
52,of the time they're not  ,"des fois, elles ne le sont pas  ","[sound:des fois, elles ne le sont pas  .mp3]"
53,they win some they lose  ,"elles gagnent, d'autres perdent  ","[sound:elles gagnent, d'autres perdent  .mp3]"
54,you're going to be every  ,il n'y a pas d'autre choix que d'être tous les  ,[sound:il n'y a pas d'autre choix que d'être tous les  .mp3]
55,punch somebody in the face  ,les gens ne savent pas si c'est le cas ou non  ,[sound:les gens ne savent pas si c'est le cas ou non  .mp3]
56,lot of the time they're  ,"la plupart du temps, ils  ","[sound:la plupart du temps, ils  .mp3]"
57,going to realize there's not  ,vont se rendre compte qu'il n'y a pas  ,[sound:vont se rendre compte qu'il n'y a pas  .mp3]
58,going to be every single  ,il n'y aura pas tous les  ,[sound:il n'y aura pas tous les  .mp3]
59,going to be able to  ,ne sera pas en mesure de  ,[sound:ne sera pas en mesure de  .mp3]
60,we don't know whether or  ,nous ne savons pas si ou  ,[sound:nous ne savons pas si ou  .mp3]
61,that there's going to be  ,qu'il y aura  ,[sound:qu'il y aura  .mp3]
62,a lot of the time  ,la plupart du temps  ,[sound:la plupart du temps  .mp3]
63,know how she's gonna be  ,savoir comment elle sera  ,[sound:savoir comment elle sera  .mp3]
64,that's a good thing for  ,c'est une bonne chose pour  ,[sound:c'est une bonne chose pour  .mp3]
65,ton of them who have  ,beaucoup d'entre eux qui ont  ,[sound:beaucoup d'entre eux qui ont  .mp3]
66,person whether or not she's  ,"personne, qu'elle ait ou non  ","[sound:personne, qu'elle ait ou non  .mp3]"
67,made all these ideas of  ,toutes ces idées de  ,[sound:toutes ces idées de  .mp3]
68,and so when you try  ,et donc quand vous essayez  ,[sound:et donc quand vous essayez  .mp3]
69,you need to do is  ,vous devez faire c'est  ,[sound:vous devez faire c'est  .mp3]
70,you didn't research a thing  ,vous n'avez pas fait de recherches  ,[sound:vous n'avez pas fait de recherches  .mp3]
71,to realize there's not as  ,pour se rendre compte qu'il n'y a pas autant de  ,[sound:pour se rendre compte qu'il n'y a pas autant de  .mp3]
72,went to disney world and  ,Je suis allé à Disney World et  ,[sound:Je suis allé à Disney World et  .mp3]
73,and all that good stuff  ,et toutes ces bonnes choses  ,[sound:et toutes ces bonnes choses  .mp3]
74,gonna bother you the fact  ,qui va vous déranger le fait que  ,[sound:qui va vous déranger le fait que  .mp3]
75,lose some they win some  ,"perdre un peu, gagner un peu  ","[sound:perdre un peu, gagner un peu  .mp3]"
76,top 1% of female athletes  ,1% des athlètes féminines les plus performantes  ,[sound:1% des athlètes féminines les plus performantes  .mp3]
77,a ton of them who  ,une tonne d'entre elles qui  ,[sound:une tonne d'entre elles qui  .mp3]
78,punched him in the face  ,l'ont frappé au visage  ,[sound:l'ont frappé au visage  .mp3]
79,whether or not she's a  ,qu'elle soit ou non une  ,[sound:qu'elle soit ou non une  .mp3]
80,win some they lose some  ,"gagner un peu, perdre un peu  ","[sound:gagner un peu, perdre un peu  .mp3]"
81,these ideas of this person  ,ces idées de cette personne  ,[sound:ces idées de cette personne  .mp3]
82,don't know how she's gonna  ,je ne sais pas comment elle va  ,[sound:je ne sais pas comment elle va  .mp3]
83,realize there's not as much  ,se rendre compte qu'il n'y a pas autant de  ,[sound:se rendre compte qu'il n'y a pas autant de  .mp3]
84,they lose some they winwe do not know ,ils en perdent certains ils en gagnent nous ne savons pas ,[sound:ils en perdent certains ils en gagnent nous ne savons pas .mp3]
85,is going to be ,va être ,[sound:va être .mp3]
86,do you want to ,voulez-vous ,[sound:voulez-vous .mp3]
87,as it currently stands ,en l'état actuel des choses ,[sound:en l'état actuel des choses .mp3]
88,him in the face ,lui faire face ,[sound:lui faire face .mp3]
89,to be able to ,de pouvoir ,[sound:de pouvoir .mp3]
90,and as it currently ,et tel qu'il est actuellement ,[sound:et tel qu'il est actuellement .mp3]
91,you want to go ,vous voulez aller ,[sound:vous voulez aller .mp3]
92,a ton of them ,une tonne d'entre eux ,[sound:une tonne d'entre eux .mp3]
93,a lot of the ,beaucoup d'entre eux ,[sound:beaucoup d'entre eux .mp3]
94,they lose some they ,ils en perdent certains ils ,[sound:ils en perdent certains ils .mp3]
95,going to be a  ,de l'argent et de l'argent  ,[sound:de l'argent et de l'argent  .mp3]
96,you were able to  ,vous avez pu  ,[sound:vous avez pu  .mp3]
97,to realize there's not  ,de se rendre compte qu'il n'y a pas  ,[sound:de se rendre compte qu'il n'y a pas  .mp3]
98,day in their life  ,jour dans leur vie  ,[sound:jour dans leur vie  .mp3]
99,that's probably why they  ,c'est probablement pour cela qu'ils  ,[sound:c'est probablement pour cela qu'ils  .mp3]
100,is not nearly as  ,n'est pas aussi  ,[sound:n'est pas aussi  .mp3]
101,good thing for me  ,bonne chose pour moi  ,[sound:bonne chose pour moi  .mp3]
102,just talk to them  ,juste leur parler  ,[sound:juste leur parler  .mp3]
103,the very minute that  ,à la minute même où  ,[sound:à la minute même où  .mp3]
104,like a lot of  ,comme beaucoup de  ,[sound:comme beaucoup de  .mp3]
105,it's not going to  ,ce n'est pas ce qui va se passer  ,[sound:ce n'est pas ce qui va se passer  .mp3]
106,top 1% of female  ,1% des femmes les plus âgées  ,[sound:1% des femmes les plus âgées  .mp3]
107,they have a larger  ,elles ont un plus grand  ,[sound:elles ont un plus grand  .mp3]
108,need to do is  ,besoin de faire est  ,[sound:besoin de faire est  .mp3]
109,we don't know whether  ,nous ne savons pas si  ,[sound:nous ne savons pas si  .mp3]
110,you know she has  ,vous savez qu'elle a  ,[sound:vous savez qu'elle a  .mp3]
111,research a thing about  ,des recherches sur  ,[sound:des recherches sur  .mp3]
112,out a day in  ,un jour à l'extérieur  ,[sound:un jour à l'extérieur  .mp3]
113,we know that men  ,nous savons que les hommes  ,[sound:nous savons que les hommes  .mp3]
114,the fact that she  ,le fait qu'elle  ,[sound:le fait qu'elle  .mp3]
115,to be every single  ,de la vie de tous les jours  ,[sound:de la vie de tous les jours  .mp3]
116,i do think that  ,je pense que  ,[sound:je pense que  .mp3]
117,or not she's a  ,"ou non, c'est une  ","[sound:ou non, c'est une  .mp3]"
118,didn't research a thing  ,n'a fait aucune recherche  ,[sound:n'a fait aucune recherche  .mp3]
119,have a ton of  ,ont une tonne de  ,[sound:ont une tonne de  .mp3]
120,going to be every  ,de l'histoire de l'humanité  ,[sound:de l'histoire de l'humanité  .mp3]
121,you're going to be  ,vous allez être  ,[sound:vous allez être  .mp3]
122,drops in terms of  ,de gouttes d'eau en termes de  ,[sound:de gouttes d'eau en termes de  .mp3]
123,this for so long  ,de ce qui se passe depuis si longtemps  ,[sound:de ce qui se passe depuis si longtemps  .mp3]
124,you need to do  ,il faut faire  ,[sound:il faut faire  .mp3]
125,they're within the normal  ,ils sont dans la norme  ,[sound:ils sont dans la norme  .mp3]
126,just going to be  ,il n'y aura que des  ,[sound:il n'y aura que des  .mp3]
127,be drops in terms  ,des baisses en termes  ,[sound:des baisses en termes  .mp3]
128,men and women and  ,hommes et femmes et  ,[sound:hommes et femmes et  .mp3]
129,gonna bother you the  ,qui vous gêneront le plus  ,[sound:qui vous gêneront le plus  .mp3]
130,somebody in the face  ,quelqu'un dans le visage  ,[sound:quelqu'un dans le visage  .mp3]
131,don't know how she's  ,Je ne sais pas comment elle est  ,[sound:Je ne sais pas comment elle est  .mp3]
132,lose some they win  ,"les uns perdent, les autres gagnent  ","[sound:les uns perdent, les autres gagnent  .mp3]"
133,that we have to  ,que nous devons  ,[sound:que nous devons  .mp3]
134,bother you the fact  ,Je n'ai pas le temps de m'ennuyer  ,[sound:Je n'ai pas le temps de m'ennuyer  .mp3]
135,high school boys who  ,les garçons du lycée qui  ,[sound:les garçons du lycée qui  .mp3]
136,these ideas of this  ,les idées de ce  ,[sound:les idées de ce  .mp3]
137,went to disney world  ,sont allés à Disney World  ,[sound:sont allés à Disney World  .mp3]
138,within the normal range  ,dans la fourchette normale  ,[sound:dans la fourchette normale  .mp3]
139,some they lose some  ,certains en perdent d'autres  ,[sound:certains en perdent d'autres  .mp3]
140,there's not as much  ,il n'y en a pas autant  ,[sound:il n'y en a pas autant  .mp3]
141,going to be like  ,qui va être comme  ,[sound:qui va être comme  .mp3]
142,take it from them  ,de les prendre  ,[sound:de les prendre  .mp3]
143,some they win some  ,certains gagnent certains  ,[sound:certains gagnent certains  .mp3]
144,of the time they're  ,"du temps, ils sont  ","[sound:du temps, ils sont  .mp3]"
145,you want to be  ,vous voulez être  ,[sound:vous voulez être  .mp3]
146,lot of the time  ,beaucoup de temps  ,[sound:beaucoup de temps  .mp3]
147,all that good stuff  ,toutes ces bonnes choses  ,[sound:toutes ces bonnes choses  .mp3]
148,of them who have  ,d'entre eux qui ont  ,[sound:d'entre eux qui ont  .mp3]
149,the top 1% of  ,les 1% les plus performants  ,[sound:les 1% les plus performants  .mp3]
150,know how she's gonna  ,savoir comment elle va  ,[sound:savoir comment elle va  .mp3]
151,and then you know  ,et puis vous savez  ,[sound:et puis vous savez  .mp3]
152,day after day after  ,jour après jour après  ,[sound:jour après jour après  .mp3]
153,we have to recognize  ,nous devons reconnaître  ,[sound:nous devons reconnaître  .mp3]
154,want to go further  ,vouloir aller plus loin  ,[sound:vouloir aller plus loin  .mp3]
155,and all that good  ,et toute cette bonne  ,[sound:et toute cette bonne  .mp3]
156,idea of this person  ,idée de cette personne  ,[sound:idée de cette personne  .mp3]
157,there's going to be  ,il y aura  ,[sound:il y aura  .mp3]
158,you the fact that  ,vous le fait que  ,[sound:vous le fait que  .mp3]
159,we have to understand  ,nous devons comprendre  ,[sound:nous devons comprendre  .mp3]
160,maybe they're not as  ,peut-être qu'ils ne sont pas aussi  ,[sound:peut-être qu'ils ne sont pas aussi  .mp3]
161,all these ideas of  ,toutes ces idées de  ,[sound:toutes ces idées de  .mp3]
162,don't have trans athletes  ,ne pas avoir d'athlètes trans  ,[sound:ne pas avoir d'athlètes trans  .mp3]
163,whether or not she's  ,qu'elle soit ou non  ,[sound:qu'elle soit ou non  .mp3]
164,the average man is  ,l'homme moyen est  ,[sound:l'homme moyen est  .mp3]
165,a day in their  ,un jour dans leur  ,[sound:un jour dans leur  .mp3]
166,there's a lot of  ,il y a beaucoup de  ,[sound:il y a beaucoup de  .mp3]
167,know whether or not  ,savoir si oui ou non  ,[sound:savoir si oui ou non  .mp3]
168,going to work out  ,de savoir si ça va marcher ou non  ,[sound:de savoir si ça va marcher ou non  .mp3]
169,ton of them who  ,de tonnes d'entre eux qui  ,[sound:de tonnes d'entre eux qui  .mp3]
170,we just don't know  ,nous ne savons pas  ,[sound:nous ne savons pas  .mp3]
171,and so when you  ,et donc quand vous  ,[sound:et donc quand vous  .mp3]
172,cannot run as fast  ,ne peut pas courir aussi vite  ,[sound:ne peut pas courir aussi vite  .mp3]
173,talk to them and  ,leur parler et  ,[sound:leur parler et  .mp3]
174,that type of stuff  ,ce genre de choses  ,[sound:ce genre de choses  .mp3]
175,going to realize there's  ,va se rendre compte qu'il y a  ,[sound:va se rendre compte qu'il y a  .mp3]
176,1% of female athletes  ,1% des athlètes féminines  ,[sound:1% des athlètes féminines  .mp3]
177,the time they're not  ,le temps qu'elles ne sont pas  ,[sound:le temps qu'elles ne sont pas  .mp3]
178,made all these ideas  ,toutes ces idées  ,[sound:toutes ces idées  .mp3]
179,they have this better  ,elles sont meilleures  ,[sound:elles sont meilleures  .mp3]
180,on a consistent basis  ,sur une base régulière  ,[sound:sur une base régulière  .mp3]
181,a good thing for  ,une bonne chose pour  ,[sound:une bonne chose pour  .mp3]
182,ideas of this person  ,idées de cette personne  ,[sound:idées de cette personne  .mp3]
183,person whether or not  ,"personne, que ce soit ou non  ","[sound:personne, que ce soit ou non  .mp3]"
184,to disney world and  ,à disney world et  ,[sound:à disney world et  .mp3]
185,in my personal opinion  ,à mon avis  ,[sound:à mon avis  .mp3]
186,they're going to be  ,ils seront  ,[sound:ils seront  .mp3]
187,a man could ever  ,un homme pourrait jamais  ,[sound:un homme pourrait jamais  .mp3]
188,so when you try  ,alors quand tu essaies  ,[sound:alors quand tu essaies  .mp3]
189,we're just gonna have  ,nous allons juste avoir  ,[sound:nous allons juste avoir  .mp3]
190,that's a good thing  ,c'est une bonne chose  ,[sound:c'est une bonne chose  .mp3]
191,realize there's not as  ,il n'y a pas autant d'hommes que de femmes  ,[sound:il n'y a pas autant d'hommes que de femmes  .mp3]
192,you know they have  ,vous savez qu'ils ont  ,[sound:vous savez qu'ils ont  .mp3]
193,punch somebody in the  ,de donner un coup de poing à quelqu'un  ,[sound:de donner un coup de poing à quelqu'un  .mp3]
194,win some they lose  ,"certains gagnent, d'autres perdent  ","[sound:certains gagnent, d'autres perdent  .mp3]"
195,they could be in  ,ils pourraient être dans  ,[sound:ils pourraient être dans  .mp3]
196,punched him in the  ,l'a frappé dans le  ,[sound:l'a frappé dans le  .mp3]
197,you didn't research a  ,vous n'avez pas fait de recherches  ,[sound:vous n'avez pas fait de recherches  .mp3]
198,that we do not  ,que nous n'avons pas  ,[sound:que nous n'avons pas  .mp3]
199,you know being a  ,Il n'y a pas d'autre solution que d'être un  ,[sound:Il n'y a pas d'autre solution que d'être un  .mp3]
200,oh i like you  ,"Oh, je t'aime bien  ","[sound:Oh, je t'aime bien  .mp3]"
201,going to be able  ,il va être capable de  ,[sound:il va être capable de  .mp3]
202,that there's going to  ,qu'il va y avoir  ,[sound:qu'il va y avoir  .mp3]
203,it's supposed to be  ,c'est censé être  ,[sound:c'est censé être  .mp3]
204,or at the very  ,ou au moins  ,[sound:ou au moins  .mp3]
205,how she's gonna be  ,de la façon dont elle va l'être  ,[sound:de la façon dont elle va l'être  .mp3]
206,they win some they  ,ils gagnent des ils  ,[sound:ils gagnent des ils  .mp3]
207,don't know whether or,ne savent pas si ou,[sound:ne savent pas si ou.mp3]
